word,size,WordPair,PU.AROU,PU.CNC,PU.FAM,PU.GEND,PU.IMAG,PU.SIZE,PU.VAL,GN.AROU,GN.CNC,GN.FAM,GN.GEND,GN.IMAG,GN.SIZE,GN.VAL
APPLE,Small,14,3,6.192982456,6.50877193,2.614035088,6.543859649,2.385964912,5.49122807,4.6667,6.8235,6.7333,3.4063,6.9091,2.4412,6.1471
APRICOT,Small,31,2.762711864,5.779661017,5.101694915,2.220338983,5.220338983,2.406779661,5,4.1875,6.5,5.6774,3.2059,6.6875,2.4848,5.8438
ASPIRIN,Small,30,2.581818182,5.563636364,5.818181818,3.018181818,5.672727273,1.945454545,4.327272727,3.8485,6.0333,5.9677,3.6667,5.8182,2.1875,5.0303
BACTERIA,Small,35,2.535714286,3.892857143,5.178571429,3.071428571,3.910714286,1.660714286,2.75,4.1515,5.6176,5.3636,4.2059,4.8235,2.2059,3.4242
BATTERY,Small,27,2.309090909,5.763636364,6.2,3.8,5.945454545,2.8,4.472727273,3.9063,6.4063,5.7097,4.9091,6.2258,2.7429,5.4571
BAY,Large,2,3.375,4.839285714,5.303571429,2.946428571,5.535714286,5.678571429,5.357142857,NA,NA,NA,NA,NA,NA,NA
BEAR,Large,7,3.716981132,5.58490566,5.603773585,3.773584906,6.075471698,5.735849057,3.981132075,5.3939,6.4746,5.5283,5.2154,6.5517,5.4328,4.8254
BED,Large,1,4.8,6.090909091,6.381818182,2.927272727,6.363636364,4.945454545,5.781818182,5.2424,6.7059,6.5938,3.5758,6.6452,4.2941,7.0286
BOOKCASE,Large,40,2.6,5.690909091,5.763636364,2.872727273,6.236363636,4.836363636,4.563636364,4.1935,6.5667,5.7931,4,6.6129,4.0909,6.0606
BUFFALO,Large,31,2.924528302,5.773584906,5.20754717,4.188679245,5.849056604,5.490566038,4.622641509,4.1176,6.4412,4.6875,5.7143,6.5294,4.9091,5.4571
BULL,Large,10,3.240740741,5.611111111,4.962962963,4.740740741,6.055555556,5.796296296,3.592592593,4.8,6.5625,5.3548,6.3529,6.5152,4.9063,4.1212
BULLET,Small,24,3.473684211,5.859649123,5.473684211,4.543859649,5.98245614,2.350877193,2.543859649,5.6471,6.7273,5.0303,5.4545,6.9032,3.2424,2.6857
BUTTERFLY,Small,42,3.518518519,5.388888889,6.277777778,1.333333333,6.333333333,2.055555556,5.833333333,5.7742,6.4516,6.3462,2.0588,6.8333,2.3871,7.0313
BUTTON,Small,21,2.593220339,5.847457627,6.101694915,2.644067797,6.288135593,2.169491525,4.677966102,3.6765,6.3824,6.1613,3.9091,6.6129,1.8438,5.2424
CAMEL,Large,18,2.586206897,5.810344828,4.948275862,3.517241379,6.310344828,5.517241379,4.620689655,4.4688,6.7931,4.7931,4.2963,6.6071,4.1,5.5333
CATHEDRAL,Large,41,3.339285714,5.5,5.428571429,3.053571429,5.982142857,6.160714286,4.910714286,4.0294,6.4118,4.9714,3.6667,6.4412,5.6471,5.8
CIGARETTE,Small,41,2.981818182,5.636363636,4.981818182,3.854545455,6.036363636,2.345454545,1.890909091,4.9688,6.7143,5.8696,4.5517,6.7083,2.3226,2.9355
