Session_Name_,Accuracy Proportion,Samples Removed,Data Loss,Small_ER,Large_ER,Small_RT,Large_RT,Gender,Handedness,Eng_Primary,Age
ETS_0004,0.966666667,10,8.045977011,0.044444444,0.022222222,448.04,458.6830952,Female,Right,Yes,18.7696514
ETS_0005,0.966666667,9,6.896551724,0.044444444,0.022222222,490.76675,456.7412195,Male,Right,Yes,18.93096377
ETS_0006,0.966666667,10,8.045977011,0.044444444,0.022222222,499.1017949,491.272439,Female,Right,Yes,19.57621326
ETS_0008,0.988888889,6,5.617977528,0,0.022222222,564.2774419,566.1004878,Male,Right,Yes,18.72590567
ETS_0009,0.966666667,8,5.747126437,0.044444444,0.022222222,539.3447619,539.19025,Male,Right,Yes,18.81886535
ETS_0010,0.966666667,8,5.747126437,0.044444444,0.022222222,474.3004878,437.5219512,Female,Right,Yes,18.22009569
ETS_0011,1,4,4.444444444,0,0,468.0074419,496.3927907,Female,Right,Yes,19.02665755
ETS_0012,0.944444444,10,5.882352941,0,0.111111111,495.6844186,527.9478378,Female,Right,Yes,18.1189337
ETS_0013,0.944444444,8,3.529411765,0.088888889,0.022222222,529.1787179,532.6251163,Male,Right,Yes,18.27477785
ETS_0014,1,4,4.444444444,0,0,444.3483333,456.1354545,Female,Right,Yes,18.96103896
ETS_0015,0.955555556,9,5.813953488,0.022222222,0.066666667,465.2087805,465.46675,Female,Right,Yes,18.17908407
ETS_0016,0.966666667,6,3.448275862,0.066666667,0,513.081,538.39,Female,Right,Yes,18.77511962
ETS_0017,0.955555556,11,8.139534884,0.066666667,0.022222222,485.78975,485.8289744,Male,Right,Yes,20.61790841
ETS_0018,0.977777778,9,7.954545455,0,0.044444444,640.9286047,621.6007895,Female,Right,Yes,18.47983595
ETS_0019,1,3,3.333333333,0,0,522.1646512,519.7427273,Male,Right,Yes,20.39917977
ETS_0020,0.977777778,8,6.818181818,0.044444444,0,628.8266667,623.9495349,Female,Right,Yes,18.50717703
ETS_0021,0.888888889,15,6.25,0.111111111,0.111111111,432.19,440.9051351,Female,Right,Yes,19.10047847
ETS_0022,0.977777778,8,6.818181818,0.044444444,0,590.20275,575.5359524,Female,Right,Yes,18.06698565
ETS_0023,0.955555556,11,8.139534884,0.044444444,0.044444444,474.30875,466.1776923,Non-binary,Right,Yes,21.09911141
ETS_0024,0.977777778,11,10.22727273,0.044444444,0,504.59,480.1581395,Male,Right,Yes,18.70676692
ETS_0025,0.988888889,7,6.741573034,0.022222222,0,615.7438095,659.2934146,Female,Right,Yes,18.25017088
ETS_0026,1,7,7.777777778,0,0,497.5490476,506.9292683,Female,Right,Yes,18.76691729
ETS_0027,0.988888889,5,4.494382022,0,0.022222222,538.807619,539.34,Female,Right,Yes,19.03759398
ETS_0028,1,4,4.444444444,0,0,587.5437209,576.1360465,Male,Right,Yes,18.70676692
ETS_0029,0.944444444,8,3.529411765,0.066666667,0.044444444,498.0334146,489.0956098,Male,Right,Yes,19.00205058
ETS_0030,0.955555556,10,6.976744186,0.066666667,0.022222222,414.0153846,425.685122,Female,Right,Yes,20.80656186
ETS_0031,0.922222222,10,3.614457831,0.044444444,0.111111111,575.3878049,601.1864103,Female,Right,Yes,19.43950786
